Time,shipment_id,W60_T_mean,W60_T_std,W60_T_range,W60_delta,W60_slope,W60_hot_ratio_mean,W60_over_auc_mean,W60_over_dur_mean,W60_spatial_range_mean,W60_spatial_std_mean,W60_active_ratio_mean,y_next_120_R2
2019-03-12 22:30:00,S1,27.75952339,0.068718426,0.200000763,-0.200000003,-0.039591838,1.0,1425.571411,0.777777791,0.983333349,0.320516735,0.777777791,1.0
2019-03-12 22:40:00,S1,27.7238102,0.071745329,0.200000763,-0.200000003,-0.041632652,1.0,1423.428589,0.777777791,0.983333349,0.321150571,0.777777791,1.0
2019-03-12 22:50:00,S1,27.68571472,0.06649638,0.185714722,-0.18571429,-0.038367346,1.0,1421.142822,0.777777791,1.016666651,0.330871791,0.777777791,1.0
2019-03-12 23:00:00,S1,27.64761925,0.063709944,0.185714722,-0.18571429,-0.036734693,1.0,1418.857178,0.777777791,1.033333302,0.334088385,0.777777791,1.0
2019-03-12 23:10:00,S1,27.61190414,0.0602809,0.185712814,-0.18571429,-0.034693878,1.0,1416.714233,0.777777791,1.049999952,0.337586761,0.777777791,1.0
2019-03-12 23:20:00,S1,27.57619095,0.051946249,0.142856598,-0.142857149,-0.030204082,1.0,1414.571411,0.777777791,1.033333302,0.333698064,0.777777791,1.0
2019-03-12 23:30:00,S1,27.54999924,0.051342521,0.142856598,-0.142857149,-0.029795919,1.0,1413.0,0.777777791,1.033333302,0.334839016,0.777777791,1.0
2019-03-12 23:40:00,S1,27.51666641,0.054346249,0.17142868,-0.171428576,-0.031428572,1.0,1411.0,0.777777791,1.049999952,0.337703556,0.777777791,1.0
2019-03-12 23:50:00,S1,27.48333359,0.054346249,0.157142639,-0.157142863,-0.031428572,1.0,1409.0,0.777777791,1.049999952,0.337703556,0.777777791,1.0
2019-03-13 00:00:00,S1,27.44761848,0.063709944,0.185714722,-0.18571429,-0.036734693,1.0,1406.857178,0.777777791,1.049999952,0.33554548,0.777777791,1.0
2019-03-13 00:10:00,S1,27.41190529,0.068221658,0.185714722,-0.18571429,-0.039591838,1.0,1404.714233,0.777777791,1.049999952,0.336041927,0.777777791,1.0
2019-03-13 00:20:00,S1,27.37142944,0.075592898,0.228570938,-0.22857143,-0.044081632,1.0,1402.285767,0.777777791,1.049999952,0.338832617,0.777777791,1.0
2019-03-13 00:30:00,S1,27.32619095,0.074877076,0.214286804,-0.214285716,-0.043673471,1.0,1399.571411,0.777777791,1.066666722,0.340947747,0.777777791,1.0
